model,classifier,train_ims,condition,acc,ci,ci_low,ci_high
vonenet_ff_ecoset,NC,300,Pert,0.5836904761904762,0.02122244381434889,0.5624680323761273,0.6049129200048251
vonenet_ff_stylized-ecoset,KNN,300,Pert,0.5761904761904761,0.01782773724642305,0.5583627389440531,0.5940182134368992
vonenet_r_ecoset,NC,300,Pert,0.6194047619047619,0.019559640892486053,0.5998451210122758,0.638964402797248
vonenet_r_stylized-ecoset,KNN,300,Pert,0.6597619047619048,0.019918716021492013,0.6398431887404128,0.6796806207833967
ShapeNet,KNN,250,Pert,0.674702380952381,0.018866556663984645,0.6558358242883964,0.6935689376163656
SayCam,NC,300,Pert,0.641547619047619,0.01671424957798537,0.6248333694696336,0.6582618686256044
convnext,logistic,250,Pert,0.5949404761904762,0.015345543437569272,0.579594932752907,0.6102860196280454
convnext,logistic,300,Pert,0.5949404761904762,0.015918963168451834,0.5790215130220243,0.6108594393589281
vit,Ridge,250,Pert,0.6022619047619048,0.015980879004868016,0.5862810257570368,0.6182427837667728
3yrold_fast,,,perturbed,0.6481464262559378,0.10214451222451698,0.5460019140314207,0.7502909384804548
3yrold_slow,,,perturbed,0.8171287046287048,0.07793916834892009,0.7391895362797847,0.8950678729776249
4yrold_fast,,,perturbed,0.795519140785685,0.053967014924341014,0.741552125861344,0.849486155710026
4yrold_slow,,,perturbed,0.8922123015873016,0.0534765414514935,0.8387357601358081,0.9456888430387951
5yrold_fast,,,perturbed,0.8528708209515833,0.06246427118898979,0.7904065497625935,0.9153350921405731
5yrold_slow,,,perturbed,0.9167624521072796,0.0419907336019578,0.8747717185053218,0.9587531857092374
