model,classifier,train_ims,condition,acc,ci,ci_low,ci_high
vonenet_ff_ecoset,NC,300,Pert,0.5836904761904762,0.02122244381434889,0.5624680323761273,0.6049129200048251
vonenet_ff_stylized-ecoset,KNN,300,Pert,0.5761904761904761,0.017827737246423045,0.5583627389440531,0.5940182134368992
vonenet_r_ecoset,NC,300,Pert,0.614047619047619,0.019456281626325334,0.5945913374212937,0.6335039006739442
vonenet_r_stylized-ecoset,KNN,300,Pert,0.635654761904762,0.019428675613412823,0.6162260862913492,0.6550834375181748
twostream_ff,SVM,300,Pert,0.6263690476190475,0.021293201658904366,0.6050758459601432,0.6476622492779519
twostream_r,KNN,300,Pert,0.6135714285714285,0.018678058377608713,0.5948933701938198,0.6322494869490373
cvcl,logistic,300,Pert,0.5717857142857143,0.01388322219057951,0.5579024920951349,0.5856689364762938
clip_resnet,logistic,300,Pert,0.8291666666666667,0.019872897969860824,0.8092937686968059,0.8490395646365275
clip,NC,300,Pert,0.9314880952380953,0.015763466649212934,0.9157246285888824,0.9472515618873082
convnext,logistic,250,Pert,0.5949404761904762,0.015345543437569272,0.579594932752907,0.6102860196280454
convnext,logistic,300,Pert,0.5949404761904762,0.01591896316845183,0.5790215130220243,0.6108594393589281
vit,Ridge,250,Pert,0.6022619047619048,0.015980879004868016,0.5862810257570368,0.6182427837667728
3yrold_fast,,,perturbed,0.6282515733053331,0.08865146269219067,0.5396001106131424,0.7169030359975238
3yrold_slow,,,perturbed,0.7829640068189354,0.0850213752055799,0.6979426316133555,0.8679853820245154
4yrold_fast,,,perturbed,0.795519140785685,0.053967014924341014,0.741552125861344,0.849486155710026
4yrold_slow,,,perturbed,0.8922123015873016,0.053476541451493484,0.8387357601358081,0.9456888430387951
5yrold_fast,,,perturbed,0.878058384284888,0.051735102710150735,0.8263232815747373,0.9297934869950387
5yrold_slow,,,perturbed,0.9120039682539682,0.04390260080381138,0.8681013674501569,0.9559065690577796
adult_fast,,,perturbed,0.9523635477582846,0.0441490709584347,0.9082144767998499,0.9965126187167193
adult_slow,,,perturbed,1.0,0.0,1.0,1.0
