model,classifier,train_ims,condition,acc,ci_low,ci_high,fig_number
3yrold-fast,,,complete,0.7315603378103379,0.6682334751475377,0.7957297549094425,0
3yrold-slow,,,complete,0.8391865079365081,0.7701364087301587,0.9040699404761906,0
4yrold-fast,,,complete,0.7542815789764469,0.6758043584985639,0.8309859896543482,0
4yrold-slow,,,complete,0.8681764816380202,0.7977540621771392,0.9332108516483517,0
5yrold-fast,,,complete,0.8374703616462859,0.7840399556861721,0.8867417173267655,0
5yrold-slow,,,complete,0.9337535014005602,0.8930672268907562,0.9700980392156863,0
Adult-fast,,,complete,0.9919590643274854,0.983625730994152,1.0,0
Adult-slow,,,complete,0.9775,0.9425000000000001,1.0,0
VoneNet_FF-EcoSet,NB,50,Outline,0.5376190476190477,0.5279166666666667,0.5473214285714286,1
VoneNet_FF-EcoSet-Style,KNN,200,Outline,0.5713690476190476,0.5553556547619047,0.5880357142857142,1
VoneNet_R-EcoSet,NC,300,Outline,0.662797619047619,0.6442842261904761,0.6817261904761904,1
VoneNet_R-EcoSet-Style,KNN,150,Outline,0.6782738095238096,0.6625595238095238,0.6944642857142856,1
ResNext50_SAY,NC,300,Outline,0.6030952380952381,0.5855342261904761,0.6205357142857143,1
CVCL,logistic,300,Outline,0.5678571428571428,0.5549999999999999,0.5810119047619048,1
ConvNext-ImageNet1k,logistic,300,Outline,0.6873809523809523,0.6667232142857142,0.7081547619047619,1
ViT-ImageNet1k,logistic,300,Outline,0.6094642857142857,0.5951785714285714,0.6242261904761903,1
ViT-DINOv2,logistic,300,Outline,0.9664285714285714,0.9554761904761904,0.9770238095238096,1
ViT-CLIP,logistic,300,Outline,0.9883333333333334,0.9820833333333334,0.9935714285714285,1
ResNet50-ImageNet1k,NC,250,Outline,0.6720833333333333,0.6486904761904763,0.6954776785714286,2
ResNet50-ImageNet-Sketch,NB,300,Outline,0.8443452380952381,0.8255937499999999,0.8632738095238096,2
ResNet50-ImageNet21k,NC,300,Outline,0.8206547619047619,0.7991666666666666,0.8427380952380954,2
ResNet50-DINO,SVM,300,Outline,0.5889880952380953,0.5723794642857142,0.6057738095238094,2
ResNet50-YFCC15m,logistic,300,Outline,0.7327380952380952,0.7129761904761904,0.7530357142857143,2
ResNet50-CLIP,SVM,250,Outline,0.9060119047619047,0.8892842261904761,0.9223214285714286,2
